Variable,Grouping
TOTROOMS,Continuous
PERPOVLVL,Continuous
RENT,
BATHEXCLU,Binary
DISHWASH,Binary
GARAGE,Binary
DINING,Continuous
LAUNDY,Continuous
STORIES,Continuous
NOSTEP,Binary
GUTREHB,Binary
CONDO,Binary
SEARCHFAM,Binary
SEARCHLIST,Binary
SEARCHNET,Binary
SEARCHOTH,Binary
SEARCHPUB,Binary
SEARCHREA,Binary
SEARCHSIGN,Binary
RMCHANGE,Binary
RMCOMMUTE,Binary
RMCOSTS,Binary
RMFAMILY,Binary
RMHOME,Binary
RMHOOD,Binary
RMJOB,Binary
RMOWNHH,Binary
RMOTHER,Binary
HMRACCESS,Binary
HMRENEFF,Binary
HMRSALE,Binary
RATINGHS,Target
RATINGNH,Target
NHQPCRIME,Binary
NHQPUBTRN,Binary
NHQRISK,Binary
NHQSCHOOL,Binary
NHQSCRIME,Binary
NORC,Binary
SUBDIV,Binary
NOWIRE,Binary
TENURE,Categorical
MHWIDE,Binary
PLUGS,Binary
PORCH,Binary
LEAKO,Binary
LEAKI,Binary
NOTOIL,Binary
PAINTPEEL,Binary
HOWBUY,Categorical
OCCJANUR,Binary
OCCFEBRU,Binary
OCCMARCH,Binary
OCCAPRIL,Binary
OCCMAY,Binary
OCCJUNE,Binary
OCCJULY,Binary
OCCAUGUST,Binary
OCCSEPTEM,Binary
OCCOCTOB,Binary
OCCNOVEM,Binary
OCCDECEM,Binary
OCCYRRND,Binary
LEADINSP,Binary
MONLSTOCC,Continuous
SUITYRRND,Binary
TIMESHARE,Binary
VACRESDAYS,Categorical
VACRNTDAYS,Categorical
PERMNEAR,Binary
VACPRIRES,Binary
VACREC,Binary
VACINVEST,Binary
VACSELL,Binary
VACINHER,Binary
VACOTH,Binary
OWNLOT,Binary
RENTCNTRL,Binary
RENTSUB,Binary
NEARABAND,Binary
NEARBARCL,Binary
NEARTRASH,Binary
INTLANG,Categorical
DIVISION,Categorical
OMB13CBSA,Categorical
INTMODE,Binary
INTSTATUS,Categorical
INTMONTH,Categorical
BLD,Categorical
ENTRYSYS,Binary
HHSEX,Binary
HHMAR,Categorical
HHSPAN,Binary
HHCITSHP,Binary
MILHH,Categorical
HHAGE,Continuous
HHMOVE,Continuous
HHINUSYR,Continuous
HHRACE,Categorical
HHRACEAS,Categorical
HHRACEPI,Categorical
HHGRAD,Categorical
HHNATVTY,Categorical
PARTNER,Continuous
HSHLDTYPE,Categorical
NUMELDERS,Continuous
NUMADULTS,Continuous
NUMNONREL,Continuous
HHYNGKIDS,Continuous
HHOLDKIDS,Continuous
NUMVETS,Continuous
NUMYNGKIDS,Continuous
NUMOLDKIDS,Continuous
NUMSUBFAM,Continuous
NUMSECFAM,Continuous
NUMPEOPLE,Continuous
HHADLTKIDS,Continuous
GRANDHH,Binary
MULTIGEN,Continuous
UFINROOMS,Continuous
MHANCHOR,Categorical
LOTSIZE,Continuous
FINROOMS,Continuous
YRBUILT,Date
HOA,Binary
FOUNDTYPE,Categorical
UNITFLOORS,Continuous
UNITSIZE,Continuous
BEDROOMS,Continuous
KITCHENS,Continuous
WATSOURCE,Binary
SEWUSERS,Continuous
KITEXCLU,Binary
FRIDGE,Binary
KITCHSINK,Binary
WASHER,Binary
COOKTYPE,Categorical
COOKFUEL,Categorical
DRYER,Categorical
SEWTYPE,Categorical
BATHROOMS,Continuous
HOTWATER,Categorical
HEATFUEL,Categorical
FIREPLACE,Categorical
ACPRIMARY,Categorical
ACSECNDRY,Categorical
HEATTYPE,Categorical
COLD,Categorical
COLDEQ,Binary
NOWAT,Binary
COLDUTIL,Binary
COLDHTCAP,Binary
COLDINSUL,Binary
COLDCOST,Binary
COLDOTHER,Binary
LEAKOROOF,Binary
LEAKOBASE,Binary
LEAKOWALL,Binary
LEAKOOTH,Binary
LEAKIPLUM,Binary
LEAKIPIPE,Binary
LEAKIWATH,Binary
LEAKIOTH,Binary
LEAKIDK,Binary
WALLCRACK,Binary
FLOORHOLE,Binary
FNDCRUMB,Binary
ROOFSHIN,Binary
ROOFHOLE,Binary
ROOFSAG,Binary
WALLSIDE,Binary
WALLSLOPE,Binary
WINBOARD,Binary
WINBROKE,Binary
WINBARS,Binary
COLDEQFREQ,Continuous
NOWATFREQ,Continuous
NOTOILFREQ,Continuous
MOLDKITCH,Binary
MOLDBATH,Binary
MOLDBEDRM,Binary
MOLDBASEM,Binary
MOLDLROOM,Binary
MOLDOTHER,Binary
RODENT,Categorical
ROACH,Categorical
SEWBREAK,Categorical
FUSEBLOW,Categorical
VACMONTHS,Continuous
DWNPAYPCT,Categorical
MHMOVE,Binary
ELECAMT,Continuous
GASAMT,Continuous
OILAMT,Continuous
OTHERAMT,Continuous
TRASHAMT,Continuous
WATERAMT,Continuous
UTILAMT,Continuous
REMODJOBS,Continuous
FS,Binary
HHHEAR,Binary
HHSEE,Binary
HHMEMRY,Binary
HHWALK,Binary
HHCARE,Binary
HHERRND,Binary
NUMHEAR,Categorical
NUMSEE,Categorical
NUMMEMRY,Categorical
NUMWALK,Categorical
NUMCARE,Categorical
NUMERRND,Categorical
DISHH,Binary
MVG1TYPE,Categorical
MVG2TYPE,Categorical
MVG3TYPE,Categorical
MVG1TEN,Categorical
MVG2TEN,Categorical
MVG3TEN,Categorical
MVG1PER,Continuous
MVG2PER,Continuous
MVG3PER,Continuous
MVG1COST,Categorical
MVG2COST,Categorical
MVG3COST,Categorical
MVG1STAT,Categorical
MVG2STAT,Categorical
MVG3STAT,Categorical
MVG1LOC,Binary
MVG2LOC,Binary
MVG3LOC,Binary
SEARCHSTOP,Categorical
MOVFORCE,Binary
HRATE,Categorical
NRATE,Categorical
MGRONSITE,Categorical
ADEQUACY,Categorical
POVLVLINC,Continuous
HUDSUB,Categorical
UPKEEP,Categorical
SPLITSAMP,Binary
VACANCY,Categorical
FIRSTHOME,Binary
MARKETVAL,Continuous
TOTBALAMT,Continuous
PROTAXAMT,Continuous
INSURAMT,Continuous
HOAAMT,Continuous
LOTAMT,Continuous
MAINTAMT,Continuous
MORTAMT,Continuous
HINCP,Continuous
FINCP,Continuous
REMODAMT,Continuous
TOTHCAMT,Continuous
